Flight No.,,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,,N/A,FH 2,FH 3,Version Booster,Booster landing,Date,Time
1,,CCSFS,SXM-8,"7,000 kg",GTO,GTO,"Success
",,,,,F9 v1.07B0003.18,Success,6 June 2021,04:26
2,,,,,,,,,,,,F9 v1.07B0003.18,,,
3,,,,,,,,,,,,F9 v1.07B0003.18,,,
4,,,,,,,,,,,,F9 v1.07B0004.18,,,
5,,,,,,,,,,,,F9 v1.07B0005.18,,,
6,,,,,,,,,,,,F9 v1.07B0006.18,,,
7,,,,,,,,,,,,F9 v1.07B0007.18,,,
8,,,,,,,,,,,,F9 v1.17B10038,,,
9,,,,,,,,,,,,F9 v1.1,,,
10,,,,,,,,,,,,F9 v1.1,,,
11,,,,,,,,,,,,F9 v1.1,,,
12,,,,,,,,,,,,F9 v1.1,,,
13,,,,,,,,,,,,F9 v1.1,,,
14,,,,,,,,,,,,F9 v1.1[,,,
15,,,,,,,,,,,,F9 v1.1[,,,
16,,,,,,,,,,,,F9 v1.1[,,,
17,,,,,,,,,,,,F9 v1.1[,,,
18,,,,,,,,,,,,F9 v1.1[,,,
19,,,,,,,,,,,,F9 v1.1[,,,
20,,,,,,,,,,,,F9 v1.1[,,,
21,,,,,,,,,,,,F9 v1.07B0003.18,,,
22,,,,,,,,,,,,F9 v1.07B0003.18,,,
23,,,,,,,,,,,,F9 v1.07B0004.18,,,
24,,,,,,,,,,,,F9 v1.07B0005.18,,,
25,,,,,,,,,,,,F9 v1.07B0006.18,,,
26,,,,,,,,,,,,F9 v1.07B0007.18,,,
27,,,,,,,,,,,,F9 v1.17B10038,,,
28,,,,,,,,,,,,F9 v1.1,,,
29,,,,,,,,,,,,F9 v1.1,,,
30,,,,,,,,,,,,F9 v1.1,,,
31,,,,,,,,,,,,F9 v1.1,,,
32,,,,,,,,,,,,F9 v1.1,,,
33,,,,,,,,,,,,F9 v1.1[,,,
34,,,,,,,,,,,,F9 v1.1[,,,
35,,,,,,,,,,,,F9 v1.1[,,,
36,,,,,,,,,,,,F9 v1.1[,,,
37,,,,,,,,,,,,F9 v1.1[,,,
38,,,,,,,,,,,,F9 v1.1[,,,
39,,,,,,,,,,,,F9 v1.1[,,,
40,,,,,,,,,,,,F9 v1.07B0003.18,,,
41,,,,,,,,,,,,F9 v1.07B0004.18,,,
42,,,,,,,,,,,,F9 v1.07B0005.18,,,
43,,,,,,,,,,,,F9 v1.07B0006.18,,,
44,,,,,,,,,,,,F9 v1.07B0007.18,,,
45,,,,,,,,,,,,F9 v1.17B10038,,,
46,,,,,,,,,,,,F9 v1.1,,,
47,,,,,,,,,,,,F9 v1.1,,,
48,,,,,,,,,,,,F9 v1.1,,,
49,,,,,,,,,,,,F9 v1.1,,,
50,,,,,,,,,,,,F9 v1.1,,,
51,,,,,,,,,,,,F9 v1.1[,,,
52,,,,,,,,,,,,F9 v1.1[,,,
53,,,,,,,,,,,,F9 v1.1[,,,
54,,,,,,,,,,,,F9 v1.1[,,,
55,,,,,,,,,,,,F9 v1.1[,,,
56,,,,,,,,,,,,F9 v1.1[,,,
57,,,,,,,,,,,,F9 v1.1[,,,
58,,,,,,,,,,,,F9 v1.07B0003.18,,,
59,,,,,,,,,,,,F9 v1.07B0003.18,,,
60,,,,,,,,,,,,F9 v1.07B0004.18,,,
61,,,,,,,,,,,,F9 v1.07B0005.18,,,
62,,,,,,,,,,,,F9 v1.07B0006.18,,,
63,,,,,,,,,,,,F9 v1.07B0007.18,,,
64,,,,,,,,,,,,F9 v1.17B10038,,,
65,,,,,,,,,,,,F9 v1.1,,,
66,,,,,,,,,,,,F9 v1.1,,,
67,,,,,,,,,,,,F9 v1.1,,,
68,,,,,,,,,,,,F9 v1.1,,,
69,,,,,,,,,,,,F9 v1.1,,,
70,,,,,,,,,,,,F9 v1.1[,,,
71,,,,,,,,,,,,F9 v1.1[,,,
72,,,,,,,,,,,,F9 v1.1[,,,
73,,,,,,,,,,,,F9 v1.1[,,,
74,,,,,,,,,,,,F9 v1.1[,,,
75,,,,,,,,,,,,F9 v1.1[,,,
76,,,,,,,,,,,,F9 v1.1[,,,
77,,,,,,,,,,,,F9 v1.07B0003.18,,,
78,,,,,,,,,,,,F9 v1.07B0004.18,,,
79,,,,,,,,,,,,F9 v1.07B0005.18,,,
80,,,,,,,,,,,,F9 v1.07B0006.18,,,
81,,,,,,,,,,,,F9 v1.07B0007.18,,,
82,,,,,,,,,,,,F9 v1.17B10038,,,
83,,,,,,,,,,,,F9 v1.1,,,
84,,,,,,,,,,,,F9 v1.1,,,
85,,,,,,,,,,,,F9 v1.1,,,
86,,,,,,,,,,,,F9 v1.1,,,
87,,,,,,,,,,,,F9 v1.1,,,
88,,,,,,,,,,,,F9 v1.1[,,,
89,,,,,,,,,,,,F9 v1.1[,,,
90,,,,,,,,,,,,F9 v1.1[,,,
91,,,,,,,,,,,,F9 v1.1[,,,
92,,,,,,,,,,,,F9 v1.1[,,,
93,,,,,,,,,,,,F9 v1.1[,,,
94,,,,,,,,,,,,F9 v1.1[,,,
95,,,,,,,,,,,,F9 v1.07B0003.18,,,
96,,,,,,,,,,,,F9 v1.07B0004.18,,,
97,,,,,,,,,,,,F9 v1.07B0005.18,,,
98,,,,,,,,,,,,F9 v1.07B0006.18,,,
99,,,,,,,,,,,,F9 v1.07B0007.18,,,
100,,,,,,,,,,,,F9 v1.17B10038,,,
101,,,,,,,,,,,,F9 v1.1,,,
102,,,,,,,,,,,,F9 v1.1,,,
103,,,,,,,,,,,,F9 v1.1,,,
104,,,,,,,,,,,,F9 v1.1,,,
105,,,,,,,,,,,,F9 v1.1,,,
106,,,,,,,,,,,,F9 v1.1[,,,
107,,,,,,,,,,,,F9 v1.1[,,,
108,,,,,,,,,,,,F9 v1.1[,,,
109,,,,,,,,,,,,F9 v1.1[,,,
110,,,,,,,,,,,,F9 v1.1[,,,
111,,,,,,,,,,,,F9 v1.1[,,,
112,,,,,,,,,,,,F9 v1.1[,,,
113,,,,,,,,,,,,F9 v1.1[,,,
114,,,,,,,,,,,,F9 FT[,,,
115,,,,,,,,,,,,F9 v1.1[,,,
116,,,,,,,,,,,,F9 FT[,,,
117,,,,,,,,,,,,F9 FT[,,,
118,,,,,,,,,,,,F9 FT[,,,
119,,,,,,,,,,,,F9 FT[,,,
120,,,,,,,,,,,,F9 FT[,,,
121,,,,,,,,,,,,F9 FT[,,,
1,,,,,,,,,,,,F9 FT[,,,
2,,,,,,,,,,,,F9 FT[,,,
3,,,,,,,,,,,,F9 FT[,,,
4,,,,,,,,,,,,F9 FT[,,,
5,,,,,,,,,,,,F9 FT♺[,,,
6,,,,,,,,,,,,F9 FT[,,,
7,,,,,,,,,,,,F9 FT[,,,
8,,,,,,,,,,,,F9 FT[,,,
9,,,,,,,,,,,,F9 FTB1029.2195,,,
10,,,,,,,,,,,,F9 FT[,,,
11,,,,,,,,,,,,F9 FT[,,,
12,,,,,,,,,,,,F9 B4[,,,
13,,,,,,,,,,,,F9 FT[,,,
14,,,,,,,,,,,,F9 B4[,,,
15,,,,,,,,,,,,F9 B4[,,,
16,,,,,,,,,,,,F9 FTB1031.2220,,,
17,,,,,,,,,,,,F9 B4[,,,
18,,,,,,,,,,,,F9 FTB1035.2227,,,
19,,,,,,,,,,,,F9 FTB1036.2227,,,
20,,,,,,,,,,,,F9 B4[,,,
21,,,,,,,,,,,,F9 FTB1032.2245,,,
22,,,,,,,,,,,,F9 FTB1038.2268,,,
23,,,,,,,,,,,,F9 B4[,,,
24,,,,,,,,,,,,F9 B4B1041.2268,,,
25,,,,,,,,,,,,F9 B4B1039.2292,,,
26,,,,,,,,,,,,F9 B4[,,,
27,,,,,,,,,,,,F9 B5311B1046.1268,,,
28,,,,,,,,,,,,F9 B4B1043.2322,,,
29,,,,,,,,,,,,F9 B4B1040.2268,,,
30,,,,,,,,,,,,F9 B4B1045.2336,,,
31,,,,,,,,,,,,F9 B5,,,
32,,,,,,,,,,,,F9 B5349B1048[,,,
33,,,,,,,,,,,,F9 B5B1046.2354,,,
34,,,,,,,,,,,,F9 B5[,,,
35,,,,,,,,,,,,F9 B5B1048.2364,,,
36,,,,,,,,,,,,F9 B5B1047.2268,,,
37,,,,,,,,,,,,F9 B5B1046.3268,,,
38,,,,,,,,,,,,F9 B5[,,,
39,,,,,,,,,,,,F9 B5[,,,
40,,,,,,,,,,,,F9 B5B1049.2397,,,
41,,,,,,,,,,,,F9 B5B1048.3399,,,
42,,,,,,,,,,,,F9 B5[]413,,,
43,,,,,,,,,,,,F9 B5[,,,
44,,,,,,,,,,,,F9 B5B1049.3434,,,
45,,,,,,,,,,,,F9 B5B1051.2420,,,
46,,,,,,,,,,,,F9 B5B1056.2465,,,
47,,,,,,,,,,,,F9 B5B1047.3472,,,
48,,,,,,,,,,,,F9 B5,,,
49,,,,,,,,,,,,F9 B5[,,,
50,,,,,,,,,,,,F9 B5B1056.3482,,,
51,,,,,,,,,,,,F9 B5,,,
52,,,,,,,,,,,,F9 B5,,,
53,,,,,,,,,,,,F9 B5,,,
54,,,,,,,,,,,,F9 B5,,,
55,,,,,,,,,,,,F9 B5,,,
56,,,,,,,,,,,,F9 B5,,,
57,,,,,,,,,,,,F9 B5,,,
58,,,,,,,,,,,,F9 B5[,,,
59,,,,,,,,,,,,F9 B5,,,
60,,,,,,,,,,,,F9 B5,,,
61,,,,,,,,,,,,F9 B5,,,
62,,,,,,,,,,,,F9 B5B1058.2544,,,
63,,,,,,,,,,,,F9 B5,,,
64,,,,,,,,,,,,F9 B5B1049.6544,,,
65,,,,,,,,,,,,F9 B5,,,
66,,,,,,,,,,,,F9 B5B1060.2563,,,
67,,,,,,,,,,,,F9 B5B1058.3565,,,
68,,,,,,,,,,,,F9 B5B1051.6568,,,
69,,,,,,,,,,,,F9 B5,,,
70,,,,,,,,,,,,F9 B5,,,
71,,,,,,,,,,,,F9 B5[,,,
72,,,,,,,,,,,,F9 B5,,,
73,,,,,,,,,,,,F9 B5 ♺[,,,
74,,,,,,,,,,,,F9 B5 ♺[,,,
75,,,,,,,,,,,,F9 B5 ♺,,,
76,,,,,,,,,,,,F9 B5 ♺,,,
77,,,,,,,,,,,,F9 B5,,,
78,,,,,,,,,,,,F9 B5B1051.8609,,,
79,,,,,,,,,,,,F9 B5B1058.5613,,,
80,,,,,,,,,,,,F9 B5 ♺[,,,
81,,,,,,,,,,,,F9 B5 ♺,,,
82,,,,,,,,,,,,F9 B5 ♺[,,,
83,,,,,,,,,,,,F9 B5 ♺[,,,
84,,,,,,,,,,,,F9 B5 ♺,,,
85,,,,,,,,,,,,F9 B5B1060.6643,,,
86,,,,,,,,,,,,F9 B5 ♺,,,
87,,,,,,,,,,,,F9 B5B1061.2647,,,
88,,,,,,,,,,,,F9 B5B1060.7652,,,
89,,,,,,,,,,,,F9 B5B1049.9655,,,
90,,,,,,,,,,,,F9 B5B1051.10657,,,
91,,,,,,,,,,,,F9 B5B1058.8660,,,
92,,,,,,,,,,,,F9 B5B1063.2665,,,
93,,,,,,,,,,,,F9 B5B1067.1668,,,
94,,,,,,,,,,,,F9 B5,,,
95,,,,,,,,,,,,F9 v1.07B0003.18,,,
96,,,,,,,,,,,,F9 v1.07B0004.18,,,
97,,,,,,,,,,,,F9 v1.07B0005.18,,,
98,,,,,,,,,,,,F9 v1.07B0006.18,,,
99,,,,,,,,,,,,F9 v1.07B0007.18,,,
100,,,,,,,,,,,,F9 v1.17B10038,,,
101,,,,,,,,,,,,F9 v1.1,,,
102,,,,,,,,,,,,F9 v1.1,,,
103,,,,,,,,,,,,F9 v1.1,,,
104,,,,,,,,,,,,F9 v1.1,,,
105,,,,,,,,,,,,F9 v1.1,,,
106,,,,,,,,,,,,F9 v1.1[,,,
107,,,,,,,,,,,,F9 v1.1[,,,
108,,,,,,,,,,,,F9 v1.1[,,,
109,,,,,,,,,,,,F9 v1.1[,,,
110,,,,,,,,,,,,F9 v1.1[,,,
111,,,,,,,,,,,,F9 v1.1[,,,
112,,,,,,,,,,,,F9 v1.1[,,,
113,,,,,,,,,,,,F9 v1.1[,,,
114,,,,,,,,,,,,F9 FT[,,,
115,,,,,,,,,,,,F9 v1.1[,,,
116,,,,,,,,,,,,F9 FT[,,,
117,,,,,,,,,,,,F9 FT[,,,
118,,,,,,,,,,,,F9 FT[,,,
119,,,,,,,,,,,,F9 FT[,,,
120,,,,,,,,,,,,F9 FT[,,,
121,,,,,,,,,,,,F9 FT[,,,
1,,,,,,,,,,,,F9 FT[,,,
1,,,,,,,,,,,,F9 FT[,,,
1,,,,,,,,,,,,F9 FT[,,,
1,,,,,,,,,,,,F9 FT[,,,
1,,,,,,,,,,,,F9 FT♺[,,,
1,,,,,,,,,,,,F9 FT[,,,
1,,,,,,,,,,,,F9 FT[,,,
1,,,,,,,,,,,,F9 FT[,,,
1,,,,,,,,,,,,F9 FTB1029.2195,,,
1,,,,,,,,,,,,F9 FT[,,,
1,,,,,,,,,,,,F9 FT[,,,
2,,,,,,,,,,,,F9 B4[,,,
3,,,,,,,,,,,,F9 FT[,,,
4,,,,,,,,,,,,F9 B4[,,,
5,,,,,,,,,,,,F9 B4[,,,
6,,,,,,,,,,,,F9 FTB1031.2220,,,
7,,,,,,,,,,,,F9 B4[,,,
8,,,,,,,,,,,,F9 FTB1035.2227,,,
9,,,,,,,,,,,,F9 FTB1036.2227,,,
10,,,,,,,,,,,,F9 B4[,,,
11,,,,,,,,,,,,F9 FTB1032.2245,,,
12,,,,,,,,,,,,F9 FTB1038.2268,,,
13,,,,,,,,,,,,F9 B4[,,,
14,,,,,,,,,,,,F9 B4B1041.2268,,,
15,,,,,,,,,,,,F9 B4B1039.2292,,,
16,,,,,,,,,,,,F9 B4[,,,
17,,,,,,,,,,,,F9 B5311B1046.1268,,,
18,,,,,,,,,,,,F9 B4B1043.2322,,,
1,,,,,,,,,,,,F9 B4B1040.2268,,,
1,,,,,,,,,,,,F9 B4B1045.2336,,,
2,,,,,,,,,,,,F9 B5,,,
3,,,,,,,,,,,,F9 B5349B1048[,,,
4,,,,,,,,,,,,F9 B5B1046.2354,,,
5,,,,,,,,,,,,F9 B5[,,,
6,,,,,,,,,,,,F9 B5B1048.2364,,,
7,,,,,,,,,,,,F9 B5B1047.2268,,,
8,,,,,,,,,,,,F9 B5B1046.3268,,,
9,,,,,,,,,,,,F9 B5[,,,
10,,,,,,,,,,,,F9 B5[,,,
11,,,,,,,,,,,,F9 B5B1049.2397,,,
12,,,,,,,,,,,,F9 B5B1048.3399,,,
13,,,,,,,,,,,,F9 B5[]413,,,
14,,,,,,,,,,,,F9 B5[,,,
15,,,,,,,,,,,,F9 B5B1049.3434,,,
16,,,,,,,,,,,,F9 B5B1051.2420,,,
17,,,,,,,,,,,,F9 B5B1056.2465,,,
18,,,,,,,,,,,,F9 B5B1047.3472,,,
1,,,,,,,,,,,,F9 B5,,,
2,,,,,,,,,,,,F9 B5[,,,
3,,,,,,,,,,,,F9 B5B1056.3482,,,
4,,,,,,,,,,,,F9 B5,,,
5,,,,,,,,,,,,F9 B5,,,
6,,,,,,,,,,,,F9 B5,,,
7,,,,,,,,,,,,F9 B5,,,
8,,,,,,,,,,,,F9 B5,,,
9,,,,,,,,,,,,F9 B5,,,
10,,,,,,,,,,,,F9 B5,,,
11,,,,,,,,,,,,F9 B5[,,,
12,,,,,,,,,,,,F9 B5,,,
13,,,,,,,,,,,,F9 B5,,,
14,,,,,,,,,,,,F9 B5,,,
15,,,,,,,,,,,,F9 B5B1058.2544,,,
16,,,,,,,,,,,,F9 B5,,,
17,,,,,,,,,,,,F9 B5B1049.6544,,,
18,,,,,,,,,,,,F9 B5,,,
1,,,,,,,,,,,,F9 B5B1060.2563,,,
1,,,,,,,,,,,,F9 B5B1058.3565,,,
2,,,,,,,,,,,,F9 B5B1051.6568,,,
3,,,,,,,,,,,,F9 B5,,,
4,,,,,,,,,,,,F9 B5,,,
5,,,,,,,,,,,,F9 B5[,,,
6,,,,,,,,,,,,F9 B5,,,
7,,,,,,,,,,,,F9 B5 ♺[,,,
8,,,,,,,,,,,,F9 B5 ♺[,,,
9,,,,,,,,,,,,F9 B5 ♺,,,
10,,,,,,,,,,,,F9 B5 ♺,,,
11,,,,,,,,,,,,F9 B5,,,
12,,,,,,,,,,,,F9 B5B1051.8609,,,
13,,,,,,,,,,,,F9 B5B1058.5613,,,
14,,,,,,,,,,,,F9 B5 ♺[,,,
15,,,,,,,,,,,,F9 B5 ♺,,,
16,,,,,,,,,,,,F9 B5 ♺[,,,
17,,,,,,,,,,,,F9 B5 ♺[,,,
18,,,,,,,,,,,,F9 B5 ♺,,,
1,,,,,,,,,,,,F9 B5B1060.6643,,,
2,,,,,,,,,,,,F9 B5 ♺,,,
3,,,,,,,,,,,,F9 B5B1061.2647,,,
4,,,,,,,,,,,,F9 B5B1060.7652,,,
5,,,,,,,,,,,,F9 B5B1049.9655,,,
6,,,,,,,,,,,,F9 B5B1051.10657,,,
7,,,,,,,,,,,,F9 B5B1058.8660,,,
8,,,,,,,,,,,,F9 B5B1063.2665,,,
9,,,,,,,,,,,,F9 B5B1067.1668,,,
10,,,,,,,,,,,,F9 B5,,,
11,,,,,,,,,,,,F9 v1.07B0003.18,,,
12,,,,,,,,,,,,F9 v1.07B0004.18,,,
13,,,,,,,,,,,,F9 v1.07B0005.18,,,
14,,,,,,,,,,,,F9 v1.07B0006.18,,,
15,,,,,,,,,,,,F9 v1.07B0007.18,,,
16,,,,,,,,,,,,F9 v1.17B10038,,,
17,,,,,,,,,,,,F9 v1.1,,,
18,,,,,,,,,,,,F9 v1.1,,,
1,,,,,,,,,,,,F9 v1.1,,,
2,,,,,,,,,,,,F9 v1.1,,,
3,,,,,,,,,,,,F9 v1.1,,,
4,,,,,,,,,,,,F9 v1.1[,,,
5,,,,,,,,,,,,F9 v1.1[,,,
6,,,,,,,,,,,,F9 v1.1[,,,
7,,,,,,,,,,,,F9 v1.1[,,,
8,,,,,,,,,,,,F9 v1.1[,,,
9,,,,,,,,,,,,F9 v1.1[,,,
10,,,,,,,,,,,,F9 v1.1[,,,
11,,,,,,,,,,,,F9 v1.1[,,,
12,,,,,,,,,,,,F9 FT[,,,
13,,,,,,,,,,,,F9 v1.1[,,,
14,,,,,,,,,,,,F9 FT[,,,
15,,,,,,,,,,,,F9 FT[,,,
16,,,,,,,,,,,,F9 FT[,,,
17,,,,,,,,,,,,F9 FT[,,,
18,,,,,,,,,,,,F9 FT[,,,
19,,,,,,,,,,,,F9 FT[,,,
20,,,,,,,,,,,,F9 FT[,,,
21,,,,,,,,,,,,F9 FT[,,,
22,,,,,,,,,,,,F9 FT[,,,
23,,,,,,,,,,,,F9 FT[,,,
24,,,,,,,,,,,,F9 FT♺[,,,
