Flight No.,,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,,N/A,FH 2,FH 3,Version Booster,Booster landing,Date,Time
25,,,,,,,,,,,,F9 FT[,,,
26,,,,,,,,,,,,F9 FT[,,,
27,,,,,,,,,,,,F9 FT[,,,
28,,,,,,,,,,,,F9 FTB1029.2195,,,
29,,,,,,,,,,,,F9 FT[,,,
30,,,,,,,,,,,,F9 FT[,,,
31,,,,,,,,,,,,F9 B4[,,,
32,,,,,,,,,,,,F9 FT[,,,
33,,,,,,,,,,,,F9 B4[,,,
34,,,,,,,,,,,,F9 B4[,,,
35,,,,,,,,,,,,F9 FTB1031.2220,,,
36,,,,,,,,,,,,F9 B4[,,,
37,,,,,,,,,,,,F9 FTB1035.2227,,,
38,,,,,,,,,,,,F9 FTB1036.2227,,,
39,,,,,,,,,,,,F9 B4[,,,
40,,,,,,,,,,,,F9 FTB1032.2245,,,
41,,,,,,,,,,,,F9 FTB1038.2268,,,
42,,,,,,,,,,,,F9 B4[,,,
43,,,,,,,,,,,,F9 B4B1041.2268,,,
44,,,,,,,,,,,,F9 B4B1039.2292,,,
45,,,,,,,,,,,,F9 B4[,,,
46,,,,,,,,,,,,F9 B5311B1046.1268,,,
47,,,,,,,,,,,,F9 B4B1043.2322,,,
48,,,,,,,,,,,,F9 B4B1040.2268,,,
49,,,,,,,,,,,,F9 B4B1045.2336,,,
50,,,,,,,,,,,,F9 B5,,,
51,,,,,,,,,,,,F9 B5349B1048[,,,
52,,,,,,,,,,,,F9 B5B1046.2354,,,
53,,,,,,,,,,,,F9 B5[,,,
54,,,,,,,,,,,,F9 B5B1048.2364,,,
55,,,,,,,,,,,,F9 B5B1047.2268,,,
56,,,,,,,,,,,,F9 B5B1046.3268,,,
57,,,,,,,,,,,,F9 B5[,,,
58,,,,,,,,,,,,F9 B5[,,,
59,,,,,,,,,,,,F9 B5B1049.2397,,,
60,,,,,,,,,,,,F9 B5B1048.3399,,,
61,,,,,,,,,,,,F9 B5[]413,,,
62,,,,,,,,,,,,F9 B5[,,,
63,,,,,,,,,,,,F9 B5B1049.3434,,,
64,,,,,,,,,,,,F9 B5B1051.2420,,,
65,,,,,,,,,,,,F9 B5B1056.2465,,,
66,,,,,,,,,,,,F9 B5B1047.3472,,,
67,,,,,,,,,,,,F9 B5,,,
68,,,,,,,,,,,,F9 B5[,,,
69,,,,,,,,,,,,F9 B5B1056.3482,,,
70,,,,,,,,,,,,F9 B5,,,
71,,,,,,,,,,,,F9 B5,,,
72,,,,,,,,,,,,F9 B5,,,
73,,,,,,,,,,,,F9 B5,,,
74,,,,,,,,,,,,F9 B5,,,
75,,,,,,,,,,,,F9 B5,,,
76,,,,,,,,,,,,F9 B5,,,
77,,,,,,,,,,,,F9 B5[,,,
78,,,,,,,,,,,,F9 B5,,,
79,,,,,,,,,,,,F9 B5,,,
80,,,,,,,,,,,,F9 B5,,,
81,,,,,,,,,,,,F9 B5B1058.2544,,,
82,,,,,,,,,,,,F9 B5,,,
83,,,,,,,,,,,,F9 B5B1049.6544,,,
84,,,,,,,,,,,,F9 B5,,,
85,,,,,,,,,,,,F9 B5B1060.2563,,,
86,,,,,,,,,,,,F9 B5B1058.3565,,,
87,,,,,,,,,,,,F9 B5B1051.6568,,,
88,,,,,,,,,,,,F9 B5,,,
89,,,,,,,,,,,,F9 B5,,,
90,,,,,,,,,,,,F9 B5[,,,
91,,,,,,,,,,,,F9 B5,,,
92,,,,,,,,,,,,F9 B5 ♺[,,,
93,,,,,,,,,,,,F9 B5 ♺[,,,
94,,,,,,,,,,,,F9 B5 ♺,,,
95,,,,,,,,,,,,F9 B5 ♺,,,
96,,,,,,,,,,,,F9 B5,,,
97,,,,,,,,,,,,F9 B5B1051.8609,,,
98,,,,,,,,,,,,F9 B5B1058.5613,,,
99,,,,,,,,,,,,F9 B5 ♺[,,,
100,,,,,,,,,,,,F9 B5 ♺,,,
101,,,,,,,,,,,,F9 B5 ♺[,,,
102,,,,,,,,,,,,F9 B5 ♺[,,,
103,,,,,,,,,,,,F9 B5 ♺,,,
104,,,,,,,,,,,,F9 B5B1060.6643,,,
105,,,,,,,,,,,,F9 B5 ♺,,,
106,,,,,,,,,,,,F9 B5B1061.2647,,,
107,,,,,,,,,,,,F9 B5B1060.7652,,,
108,,,,,,,,,,,,F9 B5B1049.9655,,,
109,,,,,,,,,,,,F9 B5B1051.10657,,,
110,,,,,,,,,,,,F9 B5B1058.8660,,,
111,,,,,,,,,,,,F9 B5B1063.2665,,,
112,,,,,,,,,,,,F9 B5B1067.1668,,,
113,,,,,,,,,,,,F9 B5,,,
114,,,,,,,,,,,,F9 v1.07B0003.18,,,
115,,,,,,,,,,,,F9 v1.07B0004.18,,,
116,,,,,,,,,,,,F9 v1.07B0005.18,,,
117,,,,,,,,,,,,F9 v1.07B0006.18,,,
118,,,,,,,,,,,,F9 v1.07B0007.18,,,
119,,,,,,,,,,,,F9 v1.17B10038,,,
120,,,,,,,,,,,,F9 v1.1,,,
121,,,,,,,,,,,,F9 v1.1,,,
1,,,,,,,,,,,,F9 v1.1,,,
2,,,,,,,,,,,,F9 v1.1,,,
3,,,,,,,,,,,,F9 v1.1,,,
4,,,,,,,,,,,,F9 v1.1[,,,
5,,,,,,,,,,,,F9 v1.1[,,,
6,,,,,,,,,,,,F9 v1.1[,,,
7,,,,,,,,,,,,F9 v1.1[,,,
8,,,,,,,,,,,,F9 v1.1[,,,
9,,,,,,,,,,,,F9 v1.1[,,,
10,,,,,,,,,,,,F9 v1.1[,,,
11,,,,,,,,,,,,F9 v1.1[,,,
12,,,,,,,,,,,,F9 FT[,,,
13,,,,,,,,,,,,F9 v1.1[,,,
14,,,,,,,,,,,,F9 FT[,,,
15,,,,,,,,,,,,F9 FT[,,,
16,,,,,,,,,,,,F9 FT[,,,
17,,,,,,,,,,,,F9 FT[,,,
18,,,,,,,,,,,,F9 FT[,,,
19,,,,,,,,,,,,F9 FT[,,,
20,,,,,,,,,,,,F9 FT[,,,
21,,,,,,,,,,,,F9 FT[,,,
22,,,,,,,,,,,,F9 FT[,,,
23,,,,,,,,,,,,F9 FT[,,,
24,,,,,,,,,,,,F9 FT♺[,,,
25,,,,,,,,,,,,F9 FT[,,,
26,,,,,,,,,,,,F9 FT[,,,
27,,,,,,,,,,,,F9 FT[,,,
28,,,,,,,,,,,,F9 FTB1029.2195,,,
29,,,,,,,,,,,,F9 FT[,,,
30,,,,,,,,,,,,F9 FT[,,,
31,,,,,,,,,,,,F9 B4[,,,
32,,,,,,,,,,,,F9 FT[,,,
33,,,,,,,,,,,,F9 B4[,,,
34,,,,,,,,,,,,F9 B4[,,,
35,,,,,,,,,,,,F9 FTB1031.2220,,,
36,,,,,,,,,,,,F9 B4[,,,
37,,,,,,,,,,,,F9 FTB1035.2227,,,
38,,,,,,,,,,,,F9 FTB1036.2227,,,
39,,,,,,,,,,,,F9 B4[,,,
40,,,,,,,,,,,,F9 FTB1032.2245,,,
41,,,,,,,,,,,,F9 FTB1038.2268,,,
42,,,,,,,,,,,,F9 B4[,,,
43,,,,,,,,,,,,F9 B4B1041.2268,,,
44,,,,,,,,,,,,F9 B4B1039.2292,,,
45,,,,,,,,,,,,F9 B4[,,,
46,,,,,,,,,,,,F9 B5311B1046.1268,,,
47,,,,,,,,,,,,F9 B4B1043.2322,,,
48,,,,,,,,,,,,F9 B4B1040.2268,,,
49,,,,,,,,,,,,F9 B4B1045.2336,,,
50,,,,,,,,,,,,F9 B5,,,
51,,,,,,,,,,,,F9 B5349B1048[,,,
52,,,,,,,,,,,,F9 B5B1046.2354,,,
53,,,,,,,,,,,,F9 B5[,,,
54,,,,,,,,,,,,F9 B5B1048.2364,,,
55,,,,,,,,,,,,F9 B5B1047.2268,,,
56,,,,,,,,,,,,F9 B5B1046.3268,,,
57,,,,,,,,,,,,F9 B5[,,,
58,,,,,,,,,,,,F9 B5[,,,
59,,,,,,,,,,,,F9 B5B1049.2397,,,
60,,,,,,,,,,,,F9 B5B1048.3399,,,
61,,,,,,,,,,,,F9 B5[]413,,,
62,,,,,,,,,,,,F9 B5[,,,
63,,,,,,,,,,,,F9 B5B1049.3434,,,
64,,,,,,,,,,,,F9 B5B1051.2420,,,
65,,,,,,,,,,,,F9 B5B1056.2465,,,
66,,,,,,,,,,,,F9 B5B1047.3472,,,
67,,,,,,,,,,,,F9 B5,,,
68,,,,,,,,,,,,F9 B5[,,,
69,,,,,,,,,,,,F9 B5B1056.3482,,,
70,,,,,,,,,,,,F9 B5,,,
71,,,,,,,,,,,,F9 B5,,,
72,,,,,,,,,,,,F9 B5,,,
73,,,,,,,,,,,,F9 B5,,,
74,,,,,,,,,,,,F9 B5,,,
75,,,,,,,,,,,,F9 B5,,,
76,,,,,,,,,,,,F9 B5,,,
77,,,,,,,,,,,,F9 B5[,,,
78,,,,,,,,,,,,F9 B5,,,
79,,,,,,,,,,,,F9 B5,,,
80,,,,,,,,,,,,F9 B5,,,
81,,,,,,,,,,,,F9 B5B1058.2544,,,
82,,,,,,,,,,,,F9 B5,,,
83,,,,,,,,,,,,F9 B5B1049.6544,,,
84,,,,,,,,,,,,F9 B5,,,
85,,,,,,,,,,,,F9 B5B1060.2563,,,
86,,,,,,,,,,,,F9 B5B1058.3565,,,
87,,,,,,,,,,,,F9 B5B1051.6568,,,
88,,,,,,,,,,,,F9 B5,,,
89,,,,,,,,,,,,F9 B5,,,
90,,,,,,,,,,,,F9 B5[,,,
91,,,,,,,,,,,,F9 B5,,,
92,,,,,,,,,,,,F9 B5 ♺[,,,
93,,,,,,,,,,,,F9 B5 ♺[,,,
94,,,,,,,,,,,,F9 B5 ♺,,,
95,,,,,,,,,,,,F9 B5 ♺,,,
96,,,,,,,,,,,,F9 B5,,,
97,,,,,,,,,,,,F9 B5B1051.8609,,,
98,,,,,,,,,,,,F9 B5B1058.5613,,,
99,,,,,,,,,,,,F9 B5 ♺[,,,
100,,,,,,,,,,,,F9 B5 ♺,,,
101,,,,,,,,,,,,F9 B5 ♺[,,,
102,,,,,,,,,,,,F9 B5 ♺[,,,
103,,,,,,,,,,,,F9 B5 ♺,,,
104,,,,,,,,,,,,F9 B5B1060.6643,,,
105,,,,,,,,,,,,F9 B5 ♺,,,
106,,,,,,,,,,,,F9 B5B1061.2647,,,
107,,,,,,,,,,,,F9 B5B1060.7652,,,
108,,,,,,,,,,,,F9 B5B1049.9655,,,
109,,,,,,,,,,,,F9 B5B1051.10657,,,
110,,,,,,,,,,,,F9 B5B1058.8660,,,
111,,,,,,,,,,,,F9 B5B1063.2665,,,
112,,,,,,,,,,,,F9 B5B1067.1668,,,
113,,,,,,,,,,,,F9 B5,,,
114,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,
